LOCATION,Country,Measure,Frequency,TIME,Unit Code,Value
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,51019
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,51559.8
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,51761.2
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,51974.4
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,52338.3
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,52354.2
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,52959.5
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,52975
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,53302.3
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,52195.3
DNK,Denmark,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,48546.8
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,49971.8
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,49826.2
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,50027.8
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,49820.2
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,49952.4
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,50235.8
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,49958.1
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,50094.6
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,50062.3
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,49096.6
DEU,Germany,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,44296.4
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,37300.9
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,37467.3
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,37634.1
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,37806.8
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,37930.5
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,38051
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,38127
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,38147.6
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,38229.7
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,36159.5
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,29712.6
ESP,Spain,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q3,USD,34667.9
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,47349.4
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,47495.6
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,47667.1
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,47771.5
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,48123.7
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,48141.3
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,48219.9
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,48405.3
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,48632.6
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,46913.8
BEL,Belgium,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,41369.9
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,49170.7
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,49611
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,50094
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q3,USD,50412.5
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q4,USD,50547.7
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q1,USD,50846.4
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q2,USD,51537.9
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q3,USD,51648.4
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q4,USD,51669.9
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q1,USD,50632.9
CAN,Canada,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q2,USD,44462.8
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,67992.1
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,68788.6
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,69665.9
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q3,USD,69457.4
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q4,USD,69554.1
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q1,USD,70061.3
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q2,USD,70900.7
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q3,USD,71412.4
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q4,USD,72170.5
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q1,USD,70585.7
CHE,Switzerland,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q2,USD,64282.8
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,55057.5
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,55903.3
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,56633.7
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q3,USD,56968.7
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q4,USD,57769.9
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q1,USD,58526.7
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q2,USD,58827.2
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q3,USD,59226.1
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q4,USD,59088
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q1,USD,57813.2
AUT,Austria,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q2,USD,50477.1
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,45627.4
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,45782.9
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,45836.3
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,45905.6
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,45793.8
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,45835.2
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,46083.6
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,45989.7
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,45800.2
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,44719.7
CAN,Canada,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,39492.3
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,39891.1
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,40311.4
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,40856.5
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q3,USD,41290.6
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q4,USD,41905.6
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q1,USD,42537.2
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q2,USD,43171.8
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q3,USD,43595.4
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q4,USD,43969.5
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q1,USD,42766.3
CZE,Czech Republic,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q2,USD,38900.9
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,65494.8
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,66099.1
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,66513.5
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,66169.8
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,65954.7
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,66177.1
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,66411.1
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,66580.7
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,66954.6
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,65192.2
CHE,Switzerland,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,59738.9
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,24253.8
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,24494.4
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,24780.9
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q3,USD,24732.6
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q4,USD,24965
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q1,USD,24898.7
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q2,USD,25229.6
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q3,USD,25472.5
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q4,USD,24616.5
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q1,USD,25263.6
CHL,Chile,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q2,USD,22270.1
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,51453.9
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,52004.7
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,52200
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,52250.3
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,52618.6
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,52990.1
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,52781.3
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,52869.9
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,52501.5
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,51145.8
AUT,Austria,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,44928.4
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,51197.4
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,51517.5
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,52101.9
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q3,USD,52451.6
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q4,USD,53329.5
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q1,USD,53916
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q2,USD,54675.1
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q3,USD,55283.6
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2019-Q4,USD,55719.5
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q1,USD,54464.7
BEL,Belgium,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2020-Q2,USD,47330.7
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2017-Q4,USD,36971.1
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q1,USD,37196.9
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q2,USD,37398.4
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q3,USD,37555.4
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2018-Q4,USD,37787.9
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q1,USD,37961.3
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q2,USD,38131.8
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q3,USD,38258
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2019-Q4,USD,38376.6
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q1,USD,37092.8
CZE,Czech Republic,"Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted",Quarterly,2020-Q2,USD,33848.4
DNK,Denmark,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2017-Q4,USD,55705
DNK,Denmark,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q1,USD,56418
DNK,Denmark,"Per Head, US $, current prices, current PPPs, seasonally adjusted",Quarterly,2018-Q2,USD,56972.9
